000000000000000000000|000000000000000000000|
00000000000000000000|00000000000000000000|
00001111100000000000|00000000000000000000|
000010000010000000000|000001111100000000000|
00001001110000000000|00000110000000000000|
00001000100000000000|00000111000000000000|
000010001000000000000|000001110000000000000|
00001011000000000000|00000100000000000000|
00000100000000000000|00000000000000000000|
000000000000000000000|000000000000000000000|
00000000000000000000|00000000000000000000|
00000000000000000000|00000000000000000000|
000000000000000000000|000000000000000000000|
000000000000000000000|000000000000000000000|
00000000000000000000|00000000000000000000|
00000000000000000000|00000000000000000000|
000000000000000000000|000000000000000000000|
00000000000000000000|00000000000000000000|











